=== SUMMARY BY STAGE ===
Subject,Age,Gender,Group,Stage,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
28-001,28,female,ODOR,Baseline,529,508,548,21,24,88
28-001,28,female,ODOR,Filtering,612,573,650,12,12,100
28-001,28,female,ODOR,Correlation,508,477,536,19,24,79

=== SUMMARY BY BLOCK ===
Subject,Age,Gender,Group,Stage,BlockID,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Total_Block_Time_ms,Correct_Count,Total_Count,Accuracy_Percent
28-001,28,female,ODOR,Baseline,Baseline_1,505,487,523,6149,10,12,83
28-001,28,female,ODOR,Baseline,Baseline_2,550,528,569,6525,11,12,92
28-001,28,female,ODOR,Correlation,Correlation_2,536,,536,6621,10,12,83
28-001,28,female,ODOR,Correlation,Correlation_1,477,477,,5996,9,12,75
28-001,28,female,ODOR,Filtering,Filtering_1,612,573,650,7340,12,12,100

=== RAW DATA ===
Subject,Age,Gender,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
28-001,28,female,ODOR,Baseline,Baseline_1,1,Indole,745,incongruent,B,correct,429
28-001,28,female,ODOR,Baseline,Baseline_1,2,PEA,745,congruent,V,correct,480
28-001,28,female,ODOR,Baseline,Baseline_1,3,PEA,745,congruent,B,incorrect,487
28-001,28,female,ODOR,Baseline,Baseline_1,4,Indole,745,incongruent,V,incorrect,611
28-001,28,female,ODOR,Baseline,Baseline_1,5,Indole,745,incongruent,B,correct,519
28-001,28,female,ODOR,Baseline,Baseline_1,6,PEA,745,congruent,V,correct,475
28-001,28,female,ODOR,Baseline,Baseline_1,7,Indole,745,incongruent,B,correct,510
28-001,28,female,ODOR,Baseline,Baseline_1,8,PEA,745,congruent,V,correct,458
28-001,28,female,ODOR,Baseline,Baseline_1,9,Indole,745,incongruent,B,correct,611
28-001,28,female,ODOR,Baseline,Baseline_1,10,PEA,745,congruent,V,correct,503
28-001,28,female,ODOR,Baseline,Baseline_1,11,Indole,745,incongruent,B,correct,548
28-001,28,female,ODOR,Baseline,Baseline_1,12,PEA,745,congruent,V,correct,518
28-001,28,female,ODOR,Baseline,Baseline_2,1,Indole,482,congruent,B,correct,535
28-001,28,female,ODOR,Baseline,Baseline_2,2,PEA,482,incongruent,V,correct,520
28-001,28,female,ODOR,Baseline,Baseline_2,3,PEA,482,incongruent,V,correct,544
28-001,28,female,ODOR,Baseline,Baseline_2,4,Indole,482,congruent,B,correct,541
28-001,28,female,ODOR,Baseline,Baseline_2,5,Indole,482,congruent,B,correct,481
28-001,28,female,ODOR,Baseline,Baseline_2,6,PEA,482,incongruent,V,correct,599
28-001,28,female,ODOR,Baseline,Baseline_2,7,Indole,482,congruent,V,incorrect,471
28-001,28,female,ODOR,Baseline,Baseline_2,8,PEA,482,incongruent,V,correct,602
28-001,28,female,ODOR,Baseline,Baseline_2,9,Indole,482,congruent,B,correct,586
28-001,28,female,ODOR,Baseline,Baseline_2,10,PEA,482,incongruent,V,correct,512
28-001,28,female,ODOR,Baseline,Baseline_2,11,Indole,482,congruent,B,correct,499
28-001,28,female,ODOR,Baseline,Baseline_2,12,PEA,482,incongruent,V,correct,635
28-001,28,female,ODOR,Correlation,Correlation_2,1,Indole,745,incongruent,B,correct,491
28-001,28,female,ODOR,Correlation,Correlation_2,2,PEA,482,incongruent,V,correct,543
28-001,28,female,ODOR,Correlation,Correlation_2,3,PEA,482,incongruent,V,correct,489
28-001,28,female,ODOR,Correlation,Correlation_2,4,Indole,745,incongruent,V,incorrect,531
28-001,28,female,ODOR,Correlation,Correlation_2,5,Indole,745,incongruent,B,correct,620
28-001,28,female,ODOR,Correlation,Correlation_2,6,PEA,482,incongruent,B,incorrect,726
28-001,28,female,ODOR,Correlation,Correlation_2,7,Indole,745,incongruent,B,correct,525
28-001,28,female,ODOR,Correlation,Correlation_2,8,PEA,482,incongruent,V,correct,552
28-001,28,female,ODOR,Correlation,Correlation_2,9,PEA,482,incongruent,V,correct,554
28-001,28,female,ODOR,Correlation,Correlation_2,10,Indole,745,incongruent,B,correct,530
28-001,28,female,ODOR,Correlation,Correlation_2,11,Indole,745,incongruent,B,correct,571
28-001,28,female,ODOR,Correlation,Correlation_2,12,PEA,482,incongruent,V,correct,489
28-001,28,female,ODOR,Correlation,Correlation_1,1,Indole,482,congruent,B,correct,438
28-001,28,female,ODOR,Correlation,Correlation_1,2,PEA,745,congruent,B,incorrect,494
28-001,28,female,ODOR,Correlation,Correlation_1,3,Indole,482,congruent,V,incorrect,646
28-001,28,female,ODOR,Correlation,Correlation_1,4,PEA,745,congruent,V,correct,557
28-001,28,female,ODOR,Correlation,Correlation_1,5,PEA,745,congruent,V,correct,450
28-001,28,female,ODOR,Correlation,Correlation_1,6,Indole,482,congruent,B,correct,547
28-001,28,female,ODOR,Correlation,Correlation_1,7,PEA,745,congruent,V,correct,450
28-001,28,female,ODOR,Correlation,Correlation_1,8,Indole,482,congruent,B,correct,475
28-001,28,female,ODOR,Correlation,Correlation_1,9,PEA,745,congruent,V,correct,362
28-001,28,female,ODOR,Correlation,Correlation_1,10,Indole,482,congruent,B,correct,495
28-001,28,female,ODOR,Correlation,Correlation_1,11,Indole,482,congruent,B,correct,523
28-001,28,female,ODOR,Correlation,Correlation_1,12,PEA,745,congruent,B,incorrect,559
28-001,28,female,ODOR,Filtering,Filtering_1,1,Indole,482,congruent,B,correct,633
28-001,28,female,ODOR,Filtering,Filtering_1,2,PEA,745,congruent,V,correct,470
28-001,28,female,ODOR,Filtering,Filtering_1,3,Indole,745,incongruent,B,correct,684
28-001,28,female,ODOR,Filtering,Filtering_1,4,PEA,482,incongruent,V,correct,661
28-001,28,female,ODOR,Filtering,Filtering_1,5,PEA,745,congruent,V,correct,527
28-001,28,female,ODOR,Filtering,Filtering_1,6,Indole,482,congruent,B,correct,585
28-001,28,female,ODOR,Filtering,Filtering_1,7,Indole,745,incongruent,B,correct,638
28-001,28,female,ODOR,Filtering,Filtering_1,8,PEA,482,incongruent,V,correct,648
28-001,28,female,ODOR,Filtering,Filtering_1,9,PEA,745,congruent,V,correct,628
28-001,28,female,ODOR,Filtering,Filtering_1,10,Indole,745,incongruent,B,correct,638
28-001,28,female,ODOR,Filtering,Filtering_1,11,Indole,482,congruent,B,correct,597
28-001,28,female,ODOR,Filtering,Filtering_1,12,PEA,482,incongruent,V,correct,631
