=== SUMMARY BY STAGE ===
Subject,Age,Gender,Group,Stage,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
49,22,male,ODOR,Baseline,2993,2960,3023,23,24,96
49,22,male,ODOR,Filtering,3355,3441,3284,11,12,92
49,22,male,ODOR,Correlation,2559,2497,2616,23,24,96

=== SUMMARY BY BLOCK ===
Subject,Age,Gender,Group,Stage,BlockID,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Total_Block_Time_ms,Correct_Count,Total_Count,Accuracy_Percent
49,22,male,ODOR,Correlation,Correlation_2,2616,,2616,31391,12,12,100
49,22,male,ODOR,Correlation,Correlation_1,2497,2497,,30068,11,12,92
49,22,male,ODOR,Baseline,Baseline_2,3098,3246,2974,37943,11,12,92
49,22,male,ODOR,Baseline,Baseline_1,2897,2723,3072,34769,12,12,100
49,22,male,ODOR,Filtering,Filtering_1,3355,3441,3284,41017,11,12,92

=== RAW DATA ===
Subject,Age,Gender,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
49,22,male,ODOR,Correlation,Correlation_2,1,PEA,482,incongruent,V,correct,3125
49,22,male,ODOR,Correlation,Correlation_2,2,Indole,745,incongruent,B,correct,2815
49,22,male,ODOR,Correlation,Correlation_2,3,Indole,745,incongruent,B,correct,2322
49,22,male,ODOR,Correlation,Correlation_2,4,PEA,482,incongruent,V,correct,2387
49,22,male,ODOR,Correlation,Correlation_2,5,Indole,745,incongruent,B,correct,2057
49,22,male,ODOR,Correlation,Correlation_2,6,Indole,745,incongruent,B,correct,2705
49,22,male,ODOR,Correlation,Correlation_2,7,Indole,745,incongruent,B,correct,1967
49,22,male,ODOR,Correlation,Correlation_2,8,Indole,745,incongruent,B,correct,3204
49,22,male,ODOR,Correlation,Correlation_2,9,PEA,482,incongruent,V,correct,1684
49,22,male,ODOR,Correlation,Correlation_2,10,Indole,745,incongruent,B,correct,1594
49,22,male,ODOR,Correlation,Correlation_2,11,PEA,482,incongruent,V,correct,2512
49,22,male,ODOR,Correlation,Correlation_2,12,Indole,745,incongruent,B,correct,5019
49,22,male,ODOR,Correlation,Correlation_1,1,PEA,745,congruent,V,correct,3125
49,22,male,ODOR,Correlation,Correlation_1,2,Indole,482,congruent,B,correct,2908
