=== SUMMARY BY STAGE ===
Subject,Age,Gender,Group,Stage,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
37,26,male,PITCH,Baseline,1391,1419,1366,23,24,96
37,26,male,PITCH,Filtering,2101,1768,2434,12,12,100
37,26,male,PITCH,Correlation,1530,1445,1614,24,24,100

=== SUMMARY BY BLOCK ===
Subject,Age,Gender,Group,Stage,BlockID,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Total_Block_Time_ms,Correct_Count,Total_Count,Accuracy_Percent
37,26,male,PITCH,Filtering,Filtering_1,2101,1768,2434,25212,12,12,100
37,26,male,PITCH,Baseline,Baseline_1,1380,1472,1303,16677,11,12,92
37,26,male,PITCH,Baseline,Baseline_2,1402,1374,1429,16820,12,12,100
37,26,male,PITCH,Correlation,Correlation_1,1445,1445,,17345,12,12,100
37,26,male,PITCH,Correlation,Correlation_2,1614,,1614,19366,12,12,100

=== RAW DATA ===
Subject,Age,Gender,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
37,26,male,PITCH,Filtering,Filtering_1,1,Indole,745,incongruent,V,correct,2754
37,26,male,PITCH,Filtering,Filtering_1,2,Indole,482,congruent,B,correct,1562
37,26,male,PITCH,Filtering,Filtering_1,3,PEA,745,congruent,V,correct,1519
37,26,male,PITCH,Filtering,Filtering_1,4,PEA,482,incongruent,B,correct,4182
37,26,male,PITCH,Filtering,Filtering_1,5,Indole,482,congruent,B,correct,1302
37,26,male,PITCH,Filtering,Filtering_1,6,Indole,745,incongruent,V,correct,2111
37,26,male,PITCH,Filtering,Filtering_1,7,PEA,482,incongruent,B,correct,1903
37,26,male,PITCH,Filtering,Filtering_1,8,PEA,745,congruent,V,correct,1615
37,26,male,PITCH,Filtering,Filtering_1,9,PEA,745,congruent,V,correct,3035
37,26,male,PITCH,Filtering,Filtering_1,10,PEA,482,incongruent,B,correct,1650
37,26,male,PITCH,Filtering,Filtering_1,11,Indole,745,incongruent,V,correct,2002
37,26,male,PITCH,Filtering,Filtering_1,12,Indole,482,congruent,B,correct,1577
37,26,male,PITCH,Baseline,Baseline_1,1,PEA,482,incongruent,B,correct,2118
37,26,male,PITCH,Baseline,Baseline_1,2,PEA,745,congruent,V,correct,1454
37,26,male,PITCH,Baseline,Baseline_1,3,PEA,745,congruent,V,correct,1863
37,26,male,PITCH,Baseline,Baseline_1,4,PEA,482,incongruent,B,correct,1168
37,26,male,PITCH,Baseline,Baseline_1,5,PEA,482,incongruent,B,correct,1451
37,26,male,PITCH,Baseline,Baseline_1,6,PEA,745,congruent,B,incorrect,1502
37,26,male,PITCH,Baseline,Baseline_1,7,PEA,745,congruent,V,correct,1571
37,26,male,PITCH,Baseline,Baseline_1,8,PEA,482,incongruent,B,correct,1234
37,26,male,PITCH,Baseline,Baseline_1,9,PEA,745,congruent,V,correct,1201
37,26,male,PITCH,Baseline,Baseline_1,10,PEA,482,incongruent,B,correct,591
37,26,male,PITCH,Baseline,Baseline_1,11,PEA,745,congruent,V,correct,1270
37,26,male,PITCH,Baseline,Baseline_1,12,PEA,482,incongruent,B,correct,1254
37,26,male,PITCH,Baseline,Baseline_2,1,Indole,745,incongruent,V,correct,1876
37,26,male,PITCH,Baseline,Baseline_2,2,Indole,482,congruent,B,correct,1976
37,26,male,PITCH,Baseline,Baseline_2,3,Indole,482,congruent,B,correct,1817
37,26,male,PITCH,Baseline,Baseline_2,4,Indole,745,incongruent,V,correct,1631
