=== SUMMARY BY STAGE ===
Subject,Age,Gender,Group,Stage,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
31-002,31,female,ODOR,Baseline,2722,2727,2717,22,24,92
31-002,31,female,ODOR,Filtering,3196,2878,3578,11,12,92
31-002,31,female,ODOR,Correlation,2648,2250,3127,22,24,92

=== SUMMARY BY BLOCK ===
Subject,Age,Gender,Group,Stage,BlockID,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Total_Block_Time_ms,Correct_Count,Total_Count,Accuracy_Percent
31-002,31,female,ODOR,Baseline,Baseline_1,2395,2370,2421,29326,10,12,83
31-002,31,female,ODOR,Baseline,Baseline_2,2994,3025,2964,35931,12,12,100
31-002,31,female,ODOR,Filtering,Filtering_1,3196,2878,3578,40798,11,12,92
31-002,31,female,ODOR,Correlation,Correlation_1,2250,2250,,26995,12,12,100
31-002,31,female,ODOR,Correlation,Correlation_2,3127,,3127,38070,10,12,83

=== RAW DATA ===
Subject,Age,Gender,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
31-002,31,female,ODOR,Baseline,Baseline_1,1,PEA,482,incongruent,V,incorrect,2193
31-002,31,female,ODOR,Baseline,Baseline_1,2,PEA,482,incongruent,B,correct,3352
31-002,31,female,ODOR,Baseline,Baseline_1,3,PEA,745,congruent,V,correct,2084
31-002,31,female,ODOR,Baseline,Baseline_1,4,PEA,482,incongruent,B,correct,1829
31-002,31,female,ODOR,Baseline,Baseline_1,5,PEA,745,congruent,V,correct,2193
31-002,31,female,ODOR,Baseline,Baseline_1,6,PEA,745,congruent,V,correct,2717
31-002,31,female,ODOR,Baseline,Baseline_1,7,PEA,745,congruent,V,correct,2622
31-002,31,female,ODOR,Baseline,Baseline_1,8,PEA,482,incongruent,B,correct,2502
31-002,31,female,ODOR,Baseline,Baseline_1,9,PEA,745,congruent,B,incorrect,3180
31-002,31,female,ODOR,Baseline,Baseline_1,10,PEA,482,incongruent,B,correct,1433
31-002,31,female,ODOR,Baseline,Baseline_1,11,PEA,482,incongruent,B,correct,2989
31-002,31,female,ODOR,Baseline,Baseline_1,12,PEA,745,congruent,V,correct,2232
31-002,31,female,ODOR,Baseline,Baseline_2,1,Indole,482,congruent,B,correct,2400
31-002,31,female,ODOR,Baseline,Baseline_2,2,Indole,745,incongruent,V,correct,2736
31-002,31,female,ODOR,Baseline,Baseline_2,3,Indole,482,congruent,B,correct,4464
31-002,31,female,ODOR,Baseline,Baseline_2,4,Indole,745,incongruent,V,correct,2711
31-002,31,female,ODOR,Baseline,Baseline_2,5,Indole,745,incongruent,V,correct,2724
31-002,31,female,ODOR,Baseline,Baseline_2,6,Indole,482,congruent,B,correct,2770
31-002,31,female,ODOR,Baseline,Baseline_2,7,Indole,745,incongruent,V,correct,2705
31-002,31,female,ODOR,Baseline,Baseline_2,8,Indole,745,incongruent,V,correct,3328
31-002,31,female,ODOR,Baseline,Baseline_2,9,Indole,482,congruent,B,correct,2883
31-002,31,female,ODOR,Baseline,Baseline_2,10,Indole,482,congruent,B,correct,3034
31-002,31,female,ODOR,Baseline,Baseline_2,11,Indole,482,congruent,B,correct,2599
31-002,31,female,ODOR,Baseline,Baseline_2,12,Indole,745,incongruent,V,correct,3577
31-002,31,female,ODOR,Filtering,Filtering_1,1,Indole,482,congruent,B,correct,3627
31-002,31,female,ODOR,Filtering,Filtering_1,2,PEA,745,congruent,V,correct,2442
31-002,31,female,ODOR,Filtering,Filtering_1,3,Indole,745,incongruent,V,correct,3796
31-002,31,female,ODOR,Filtering,Filtering_1,4,PEA,482,incongruent,B,correct,3217
31-002,31,female,ODOR,Filtering,Filtering_1,5,Indole,745,incongruent,V,correct,3501
31-002,31,female,ODOR,Filtering,Filtering_1,6,Indole,745,incongruent,B,incorrect,5642
31-002,31,female,ODOR,Filtering,Filtering_1,7,PEA,482,incongruent,B,correct,3422
31-002,31,female,ODOR,Filtering,Filtering_1,8,PEA,745,congruent,V,correct,3107
31-002,31,female,ODOR,Filtering,Filtering_1,9,PEA,482,incongruent,B,correct,3952
31-002,31,female,ODOR,Filtering,Filtering_1,10,PEA,745,congruent,V,correct,1864
31-002,31,female,ODOR,Filtering,Filtering_1,11,Indole,482,congruent,B,correct,3971
31-002,31,female,ODOR,Filtering,Filtering_1,12,Indole,482,congruent,B,correct,2257
31-002,31,female,ODOR,Correlation,Correlation_1,1,PEA,745,congruent,V,correct,2329
31-002,31,female,ODOR,Correlation,Correlation_1,2,Indole,482,congruent,B,correct,2569
31-002,31,female,ODOR,Correlation,Correlation_1,3,Indole,482,congruent,B,correct,2082
31-002,31,female,ODOR,Correlation,Correlation_1,4,PEA,745,congruent,V,correct,2033
31-002,31,female,ODOR,Correlation,Correlation_1,5,Indole,482,congruent,B,correct,2072
31-002,31,female,ODOR,Correlation,Correlation_1,6,PEA,745,congruent,V,correct,2870
31-002,31,female,ODOR,Correlation,Correlation_1,7,Indole,482,congruent,B,correct,2931
31-002,31,female,ODOR,Correlation,Correlation_1,8,Indole,482,congruent,B,correct,2177
31-002,31,female,ODOR,Correlation,Correlation_1,9,PEA,745,congruent,V,correct,1935
31-002,31,female,ODOR,Correlation,Correlation_1,10,PEA,745,congruent,V,correct,2250
31-002,31,female,ODOR,Correlation,Correlation_1,11,PEA,745,congruent,V,correct,1759
31-002,31,female,ODOR,Correlation,Correlation_1,12,Indole,482,congruent,B,correct,1988
31-002,31,female,ODOR,Correlation,Correlation_2,1,Indole,745,incongruent,V,correct,1614
31-002,31,female,ODOR,Correlation,Correlation_2,2,Indole,745,incongruent,V,correct,2673
31-002,31,female,ODOR,Correlation,Correlation_2,3,Indole,745,incongruent,V,correct,3456
31-002,31,female,ODOR,Correlation,Correlation_2,4,Indole,745,incongruent,B,incorrect,2596
31-002,31,female,ODOR,Correlation,Correlation_2,5,PEA,482,incongruent,B,correct,3195
31-002,31,female,ODOR,Correlation,Correlation_2,6,PEA,482,incongruent,B,correct,4529
31-002,31,female,ODOR,Correlation,Correlation_2,7,Indole,745,incongruent,V,correct,3340
31-002,31,female,ODOR,Correlation,Correlation_2,8,Indole,745,incongruent,B,incorrect,4204
31-002,31,female,ODOR,Correlation,Correlation_2,9,PEA,482,incongruent,B,correct,3297
31-002,31,female,ODOR,Correlation,Correlation_2,10,PEA,482,incongruent,B,correct,2856
31-002,31,female,ODOR,Correlation,Correlation_2,11,PEA,482,incongruent,B,correct,3195
31-002,31,female,ODOR,Correlation,Correlation_2,12,PEA,482,incongruent,B,correct,3115
