=== SUMMARY BY STAGE ===
Subject,Age,Gender,Group,Stage,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
36,21,female,PITCH,Baseline,1093,937,1235,21,24,88
36,21,female,PITCH,Filtering,1124,1015,1232,12,12,100
36,21,female,PITCH,Correlation,1089,966,1223,23,24,96

=== SUMMARY BY BLOCK ===
Subject,Age,Gender,Group,Stage,BlockID,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Total_Block_Time_ms,Correct_Count,Total_Count,Accuracy_Percent
36,21,female,PITCH,Correlation,Correlation_1,966,966,,11597,12,12,100
36,21,female,PITCH,Correlation,Correlation_2,1223,,1223,14871,11,12,92
36,21,female,PITCH,Baseline,Baseline_1,1058,856,1299,12363,11,12,92
36,21,female,PITCH,Baseline,Baseline_2,1132,1058,1181,12419,10,12,83
36,21,female,PITCH,Filtering,Filtering_1,1124,1015,1232,13484,12,12,100

=== RAW DATA ===
Subject,Age,Gender,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
36,21,female,PITCH,Correlation,Correlation_1,1,PEA,745,congruent,V,correct,1216
36,21,female,PITCH,Correlation,Correlation_1,2,Indole,482,congruent,B,correct,611
36,21,female,PITCH,Correlation,Correlation_1,3,PEA,745,congruent,V,correct,966
36,21,female,PITCH,Correlation,Correlation_1,4,Indole,482,congruent,B,correct,1099
36,21,female,PITCH,Correlation,Correlation_1,5,Indole,482,congruent,B,correct,767
36,21,female,PITCH,Correlation,Correlation_1,6,PEA,745,congruent,V,correct,612
36,21,female,PITCH,Correlation,Correlation_1,7,Indole,482,congruent,B,correct,1403
36,21,female,PITCH,Correlation,Correlation_1,8,PEA,745,congruent,V,correct,725
36,21,female,PITCH,Correlation,Correlation_1,9,PEA,745,congruent,V,correct,907
36,21,female,PITCH,Correlation,Correlation_1,10,Indole,482,congruent,B,correct,908
